timestamp,product_name,price_offered,inventory_level,budget_multiplier,purchased
2026-01-13 12:48:04,Eggs,3.45,100,1.17,1
2026-01-13 12:48:04,Bread,1.18,100,1.14,1
2026-01-13 12:48:04,Cheese,6.5,100,0.74,0
2026-01-13 12:48:04,Milk,2.0,100,1.23,0
2026-01-13 12:48:05,Eggs,5.03,99,1.11,0
2026-01-13 12:48:05,Meat,7.67,100,0.85,0
2026-01-13 12:48:05,Eggs,5.03,99,1.3,0
2026-01-13 12:48:05,Milk,2.0,100,1.29,0
2026-01-13 12:48:05,Eggs,5.03,99,0.91,0
2026-01-13 12:48:05,Bread,0.9,99,0.81,0
2026-01-13 12:48:05,Meat,10.49,100,1.2,0
2026-01-13 12:48:06,Bread,0.9,99,0.9,1
2026-01-13 12:48:06,Meat,10.49,100,1.23,0
2026-01-13 12:48:06,Cheese,8.17,100,1.24,0
2026-01-13 12:48:06,Milk,2.0,100,1.29,0
2026-01-13 12:48:06,Meat,10.49,100,0.8,0
2026-01-13 12:48:06,Eggs,3.63,99,0.81,0
2026-01-13 12:48:07,Milk,2.0,100,0.85,0
2026-01-13 12:48:07,Meat,6.89,100,0.98,1
2026-01-13 12:48:07,Cheese,9.63,100,0.91,0
2026-01-13 12:48:07,Meat,6.89,99,1.14,1
2026-01-13 12:48:07,Meat,6.89,98,0.84,0
2026-01-13 12:48:07,Bread,0.9,98,1.11,1
2026-01-13 12:48:07,Meat,10.9,98,0.9,0
2026-01-13 12:48:08,Eggs,3.34,99,1.29,1
2026-01-13 12:48:08,Eggs,3.34,98,1.0,1
2026-01-13 12:48:08,Eggs,3.34,97,1.0,1
2026-01-13 12:48:08,Bread,0.92,97,1.51,1
2026-01-13 12:48:08,Bread,1.1,96,0.7,0
2026-01-13 12:48:08,Eggs,5.06,96,0.9,0
2026-01-13 12:48:08,Meat,6.23,98,0.73,0
2026-01-13 12:48:09,Milk,1.44,100,1.37,1
2026-01-13 12:48:09,Bread,0.96,96,0.96,1
2026-01-13 12:48:09,Meat,6.23,98,0.76,0
2026-01-13 12:48:09,Meat,8.42,98,1.24,1
2026-01-13 12:48:09,Cheese,9.48,100,1.09,0
2026-01-13 12:48:09,Milk,1.44,99,1.04,1
2026-01-13 12:48:09,Milk,1.44,98,0.9,0
2026-01-13 12:48:10,Bread,1.0,95,1.02,1
2026-01-13 12:48:10,Eggs,5.06,96,0.6,0
2026-01-13 12:48:10,Meat,10.7,97,1.34,0
2026-01-13 12:48:10,Cheese,9.48,100,0.86,0
2026-01-13 12:48:10,Cheese,9.48,100,0.74,0
2026-01-13 12:48:10,Eggs,3.5,96,0.79,0
